InvoiceDate,Quantity,TotalPrice,day_of_week,month,lag_7,rolling_mean_7
2010-12-01 09:02:00,88,259.86,2,12,40.0,106.0
2010-12-01 09:09:00,32,350.4,2,12,12.0,108.85714285714286
2010-12-01 09:32:00,200,588.6600000000001,2,12,98.0,123.42857142857143
2010-12-01 09:34:00,12,22.2,2,12,3.0,124.71428571428571
2010-12-01 09:37:00,454,444.98,2,12,449.0,125.42857142857143
2010-12-01 09:41:00,222,484.78,2,12,80.0,145.71428571428572
2010-12-01 09:45:00,134,430.6,2,12,12.0,163.14285714285714
2010-12-01 09:53:00,190,489.6,2,12,88.0,177.71428571428572
2010-12-01 09:56:00,53,130.85,2,12,32.0,180.71428571428572
2010-12-01 09:57:00,236,508.20000000000005,2,12,200.0,185.85714285714286
2010-12-01 09:58:00,1440,3193.92,2,12,12.0,389.85714285714283
2010-12-01 09:59:00,108,226.14000000000001,2,12,454.0,340.42857142857144
2010-12-01 10:03:00,107,358.25,2,12,222.0,324.0
2010-12-01 10:19:00,1568,1825.74,2,12,134.0,528.8571428571429
2010-12-01 10:29:00,103,318.14,2,12,190.0,516.4285714285714
2010-12-01 10:37:00,8,79.6,2,12,53.0,510.0
2010-12-01 10:39:00,544,1024.68,2,12,236.0,554.0
2010-12-01 10:47:00,260,507.88,2,12,1440.0,385.42857142857144
2010-12-01 10:51:00,162,655.36,2,12,108.0,393.14285714285717
2010-12-01 10:52:00,162,448.76,2,12,107.0,401.0
2010-12-01 10:53:00,12,17.4,2,12,1568.0,178.71428571428572
2010-12-01 11:21:00,124,354.23,2,12,103.0,181.71428571428572
2010-12-01 11:22:00,116,357.0,2,12,8.0,197.14285714285714
2010-12-01 11:27:00,97,192.60000000000002,2,12,544.0,133.28571428571428
2010-12-01 11:29:00,438,471.3,2,12,260.0,158.71428571428572
2010-12-01 11:32:00,128,326.4,2,12,162.0,153.85714285714286
2010-12-01 11:33:00,96,353.14,2,12,162.0,144.42857142857142
2010-12-01 11:34:00,12,22.2,2,12,12.0,144.42857142857142
2010-12-01 11:41:00,558,783.11,2,12,124.0,206.42857142857142
2010-12-01 11:45:00,173,243.28,2,12,116.0,214.57142857142858
2010-12-01 11:49:00,220,514.41,2,12,97.0,232.14285714285714
2010-12-01 11:57:00,228,390.79,2,12,438.0,202.14285714285714
2010-12-01 11:58:00,110,225.7,2,12,128.0,199.57142857142858
2010-12-01 12:03:00,111,233.45,2,12,96.0,201.71428571428572
2010-12-01 12:08:00,215,666.35,2,12,12.0,230.71428571428572
2010-12-01 12:12:00,1004,842.12,2,12,558.0,294.42857142857144
2010-12-01 12:15:00,329,440.89,2,12,173.0,316.7142857142857
2010-12-01 12:22:00,170,312.94,2,12,220.0,309.57142857142856
2010-12-01 12:23:00,178,320.25,2,12,228.0,302.42857142857144
2010-12-01 12:27:00,1070,2474.7400000000002,2,12,110.0,439.57142857142856
2010-12-01 12:31:00,72,165.89,2,12,111.0,434.0
2010-12-01 12:35:00,102,223.9,2,12,215.0,417.85714285714283
2010-12-01 12:36:00,39,95.28999999999999,2,12,1004.0,280.0
2010-12-01 12:38:00,216,155.52,2,12,329.0,263.85714285714283
2010-12-01 12:40:00,118,295.5,2,12,170.0,256.42857142857144
2010-12-01 12:43:00,197,313.49,2,12,178.0,259.14285714285717
2010-12-01 12:48:00,1,4.95,2,12,1070.0,106.42857142857143
2010-12-01 12:49:00,86,191.06,2,12,72.0,108.42857142857143
2010-12-01 12:50:00,112,203.3,2,12,102.0,109.85714285714286
2010-12-01 12:51:00,24,70.80000000000001,2,12,39.0,107.71428571428571
2010-12-01 12:54:00,29,136.24,2,12,216.0,81.0
2010-12-01 12:58:00,94,301.24,2,12,118.0,77.57142857142857
